soc_code,bls_occ_title,tot_emp,emp_prse,h_mean,a_mean,mean_prse,h_pct10,h_pct25,h_median,h_pct75,h_pct90,a_pct10,a_pct25,a_median,a_pct75,a_pct90,annual,hourly
51-9061,"Inspectors, Testers, Sorters, Samplers, and Weighers",597370,0.7,25.7,53450.0,0.3,17.07,19.18,23.35,29.54,37.44,35510.0,39890.0,48570.0,61440.0,77860.0,,
51-9071,Jewelers and Precious Stone and Metal Workers,22440,3.9,27.87,57960.0,2.4,17.11,19.0,25.26,33.56,42.09,35580.0,39520.0,52540.0,69810.0,87540.0,,
51-9081,Dental Laboratory Technicians,34410,2.5,26.1,54290.0,0.8,17.62,19.43,23.85,29.84,36.99,36660.0,40420.0,49610.0,62070.0,76940.0,,
51-9082,Medical Appliance Technicians,11280,5.7,25.35,52730.0,1.4,17.55,20.29,23.09,29.12,36.41,36510.0,42210.0,48030.0,60580.0,75740.0,,
51-9083,Ophthalmic Laboratory Technicians,18660,4.8,20.76,43190.0,1.0,16.12,17.53,18.97,22.6,27.59,33530.0,36470.0,39460.0,47010.0,57380.0,,
51-9111,Packaging and Filling Machine Operators and Tenders,379060,0.8,21.44,44590.0,0.2,16.06,17.72,20.78,23.59,28.86,33390.0,36850.0,43220.0,49070.0,60030.0,,
51-9123,"Painting, Coating, and Decorating Workers",7940,9.9,21.73,45210.0,1.7,15.13,17.8,20.0,24.21,29.24,31470.0,37030.0,41600.0,50360.0,60820.0,,
51-9124,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",158740,1.2,25.3,52620.0,0.4,17.43,19.52,23.2,28.69,35.93,36260.0,40590.0,48250.0,59680.0,74730.0,,
51-9141,Semiconductor Processing Technicians,31460,1.8,28.93,60180.0,0.6,18.12,21.94,24.73,31.25,39.68,37690.0,45640.0,51430.0,65010.0,82540.0,,
51-9151,Photographic Process Workers and Processing Machine Operators,4800,5.7,22.14,46050.0,1.9,14.47,16.91,19.52,24.11,33.08,30090.0,35170.0,40610.0,50150.0,68800.0,,
51-9161,Computer Numerically Controlled Tool Operators,169450,1.5,26.11,54320.0,0.3,18.34,21.6,24.37,29.69,35.53,38140.0,44930.0,50690.0,61760.0,73890.0,,
51-9162,Computer Numerically Controlled Tool Programmers,28500,1.8,34.72,72210.0,0.7,22.85,28.01,32.75,39.37,48.23,47530.0,58270.0,68120.0,81890.0,100320.0,,
51-9191,Adhesive Bonding Machine Operators and Tenders,11500,4.0,22.53,46850.0,1.0,15.12,17.9,22.34,25.77,29.24,31460.0,37220.0,46460.0,53610.0,60810.0,,
51-9192,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",14760,2.7,21.44,44600.0,0.5,16.25,17.94,20.93,23.71,28.16,33790.0,37310.0,43530.0,49320.0,58570.0,,
